model,metric,score
reference_summary,readability_fkgl,13.963180348618964
reference_summary,readability_fre,34.24734042772331
reference_summary,readability_fog,16.915161531644685
reference_summary,readability_smog,15.45665881808636
reference_summary,readability_cl,14.118936046506544
medgemma_pls,bertscore_f1,0.852164455652237
medgemma_pls,nli_factuality,0.9916107503607504
medgemma_pls,qa_factuality,0.1284933348597031
medgemma_pls,readability_fkgl,11.393309372913787
medgemma_pls,readability_fre,46.29256973007314
medgemma_pls,readability_fog,13.684245917646514
medgemma_pls,readability_smog,13.134031124598463
medgemma_pls,readability_cl,12.68358258951799
qwen_pls,bertscore_f1,0.8288107877969741
qwen_pls,nli_factuality,0.9734319265553824
qwen_pls,qa_factuality,0.0817046694991165
qwen_pls,readability_fkgl,12.803371425232188
qwen_pls,readability_fre,31.07606044493805
qwen_pls,readability_fog,15.589956692627275
qwen_pls,readability_smog,14.225394509779068
qwen_pls,readability_cl,15.61907722308993
gemini_pls,bertscore_f1,0.8583554673194885
gemini_pls,nli_factuality,0.995088310811995
gemini_pls,qa_factuality,0.1711762453869057
gemini_pls,readability_fkgl,10.333011173036562
gemini_pls,readability_fre,52.20056397529396
gemini_pls,readability_fog,12.36523151239968
gemini_pls,readability_smog,12.334709269405348
gemini_pls,readability_cl,12.079492478145708
llama_pls,bertscore_f1,0.8566103279590607
llama_pls,nli_factuality,0.9961226551226552
llama_pls,qa_factuality,0.1505883702211101
llama_pls,readability_fkgl,11.027192426599656
llama_pls,readability_fre,49.23261684703595
llama_pls,readability_fog,13.369622315000264
llama_pls,readability_smog,13.069491774040976
llama_pls,readability_cl,12.268707207157696
chatgpt_pls,bertscore_f1,0.8590906047821045
chatgpt_pls,nli_factuality,0.9891997800238396
chatgpt_pls,qa_factuality,0.1470510680688195
chatgpt_pls,readability_fkgl,10.13682897161052
chatgpt_pls,readability_fre,53.14921042382954
chatgpt_pls,readability_fog,12.271072630358038
chatgpt_pls,readability_smog,12.207195147152005
chatgpt_pls,readability_cl,11.84770994662306
claude_pls,bertscore_f1,0.8590228033065795
claude_pls,nli_factuality,0.9940637808483076
claude_pls,qa_factuality,0.1355067147963735
claude_pls,readability_fkgl,11.216940040844763
claude_pls,readability_fre,48.33136738210016
claude_pls,readability_fog,13.18299153944372
claude_pls,readability_smog,12.98346017128104
claude_pls,readability_cl,13.163751517176902
medgemma_pls,alignscore,0.4852143312990665
qwen_pls,alignscore,0.2527051091566681
gemini_pls,alignscore,0.4652458170056343
llama_pls,alignscore,0.4927839301526546
chatgpt_pls,alignscore,0.3986738115549088
claude_pls,alignscore,0.4092929867655039
